,rangoAutovalores,pasos,iters,tiempo
213,4541.979730787354,0.75,4403,0.07147789001464844
214,5358.327269968615,0.75,470,0.007636070251464844
215,7158.959193446376,0.75,772,0.02774834632873535
216,7877.898881542444,0.75,444,0.016605615615844727
217,8992.498293699038,0.75,730,0.02670907974243164
218,9424.779561917385,0.75,603,0.022647619247436523
219,10671.350946713224,0.75,7264,0.28060150146484375
220,10861.256262531591,0.75,747,0.02765059471130371
221,11751.706248520317,0.75,428,0.016022205352783203
222,12800.039012785635,0.75,1721,0.06508994102478027
223,17306.77911561314,0.75,799,0.029053449630737305
224,15572.16801761354,0.75,400,0.014845609664916992
225,15947.106877596778,0.75,702,0.025970458984375
226,16952.596051441335,0.75,770,0.030785560607910156
227,22269.913064011296,0.75,643,0.025245189666748047
228,17898.90024658939,0.75,349,0.012743711471557617
229,25451.95513079813,0.75,6495,0.16622638702392578
230,21442.82282836756,0.75,2967,0.0542604923248291
231,22866.662767526723,0.75,702,0.011327028274536133
232,29421.98039366646,0.75,1528,0.024515390396118164
233,28416.31998802142,0.75,1299,0.021112442016601562
234,32482.094148988665,0.75,1461,0.032532453536987305
235,30439.878482379267,0.75,1181,0.03302502632141113
236,36281.78295469264,0.75,1592,0.0266873836517334
237,44598.22215255488,0.75,2461,0.0495915412902832
238,44430.80793075602,0.75,2547,0.06497406959533691
239,44235.6972749866,0.75,523,0.013590335845947266
240,46225.36643657666,0.75,960,0.01575493812561035
241,43300.752663192725,0.75,1384,0.0240938663482666
242,51779.40865533454,0.75,443,0.0075223445892333984
243,48617.3100197145,0.75,1782,0.029662370681762695
244,43795.82812082818,0.75,1170,0.019084692001342773
245,56007.08648827573,0.75,1516,0.025162696838378906
246,63375.48297169563,0.75,610,0.009959220886230469
247,60020.05025725486,0.75,593,0.009623527526855469
248,55493.78230711984,0.75,35296,0.7356212139129639
249,65691.75405908842,0.75,2897,0.04868626594543457
250,70651.57771927558,0.75,17121,0.35610055923461914
251,68720.84797851573,0.75,5141,0.17761802673339844
252,89196.90706656872,0.75,1513,0.024991273880004883
253,79303.0433598429,0.75,1500,0.024326324462890625
254,63349.11791913951,0.75,830,0.014246702194213867
255,81263.30013437448,0.75,1671,0.02776026725769043
256,78197.41573625033,0.75,2643,0.04347634315490723
257,75342.32508211334,0.75,754,0.012561321258544922
258,97759.56200277428,0.75,3143,0.05822634696960449
259,93491.66435369175,0.75,1225,0.020775318145751953
260,82757.73824998751,0.75,888,0.014925241470336914
261,100222.89322979488,0.75,789,0.013109445571899414
262,94324.77363040773,0.75,1305,0.021475553512573242
263,114779.97945419914,0.75,823,0.013472557067871094
264,123855.97005796654,0.75,2018,0.033006906509399414
265,112881.37768309392,0.75,867,0.014117002487182617
266,101807.21241214182,0.75,829,0.013792037963867188
267,119184.15891764652,0.75,3015,0.0702974796295166
268,120823.88937780198,0.75,2024,0.03414416313171387
269,103765.01338364932,0.75,436,0.007297992706298828
270,120845.29258845268,0.75,3190,0.11556506156921387
271,160969.831277606,0.75,781,0.0301206111907959
272,152176.41098457723,0.75,1241,0.04578089714050293
273,142301.88553298527,0.75,6042,0.22045230865478516
274,148110.64418963238,0.75,1504,0.05497550964355469
275,148112.2485348474,0.75,1283,0.05433320999145508
276,158142.71136584843,0.75,870,0.03185606002807617
277,177328.1846003543,0.75,3695,0.1324934959411621
278,155587.11073547354,0.75,70920,1.4286675453186035
279,144442.71623412424,0.75,2420,0.04112744331359863
280,149376.98800776032,0.75,4734,0.09597396850585938
281,170418.35140165203,0.75,3132,0.06012988090515137
282,150730.83413742695,0.75,10190,0.1896984577178955
283,169217.22667594525,0.75,5271,0.14977788925170898
284,163505.22215288918,0.75,779,0.012712717056274414
285,176709.622809962,0.75,1106,0.03300166130065918
286,185721.75304296688,0.75,1395,0.024747371673583984
287,244590.2456101976,0.75,1179,0.01944422721862793
288,207626.6687354229,0.75,2170,0.035491943359375
289,188212.0134939497,0.75,445,0.007294654846191406
290,230315.8144048959,0.75,2008,0.04397773742675781
291,224615.3735982258,0.75,1367,0.02265763282775879
292,223463.51116008693,0.75,2908,0.05420255661010742
293,188823.3652396909,0.75,1505,0.0251767635345459
294,238622.3307053795,0.75,2636,0.043181419372558594
295,207126.78101130005,0.75,2060,0.033392906188964844
296,204013.8868348868,0.75,858,0.0162198543548584
